time,open,high,low,close
1436227200,269.47474276,273.01489494,262.28467483,265.56550156
1436313600,266.07881985,273.92226074,262.651,271.28067842
1436400000,270.89482825,273.83012889,265.85984659,269.26404665
1436486400,269.14747189,299.99438614,265.116,285.1836917
1436572800,286.01278129,301.97883998,282.86418352,294.26398864
1436659200,295.8402252,317.05956169,291.46021655,310.89864694
1436745600,310.92818509,316.48509484,275.48337487,293.47877306
1436832000,291.83574294,296.96846062,282.49982753,287.30660697
1436918400,287.38529202,294.22326545,283.68066328,284.98878958
1437004800,284.95738382,291.98616179,273.40989476,278.1902603
1437091200,278.15603267,280.80146803,270.79720326,279.3486601
1437177600,279.16724001,282.65877322,270.19403394,272.439348
1437264000,276.74,278.22266848,266.04835331,274.09686317
1437350400,272.88102557,279.82910002,269.48642939,279.82910002
1437436800,279.33064259,281.27671671,274.83471013,275.33994556
1437523200,275.45091546,277.81,271.50722325,276.86879543
1437609600,276.82034957,278.98711668,272.3,275.59134235
1437696000,275.24799968,289.19076201,273.56873435,288.07779685
1437782400,288.01510635,291.64374631,284.98696232,288.60725
1437868800,288.59809658,293.99426283,283.894,291.89861274
1437955200,292.10827965,298.06898846,285.62243203,293.89891592
1438041600,293.56362287,297.239688,291.1671325,295.12600853
1438128000,294.4670397,295.1858012,285.991,289.31460213
1438214400,289.28702439,290.68523997,284.21119408,287.37939746
1438300800,287.63598858,289.54585292,280.216,284.39970114
1438387200,284.11892195,285.03512807,276.00140826,279.78849439
1438473600,279.01540617,282.60021735,274.86073859,282.03292689
1438560000,280.18284739,285.47769455,277.46424219,281.03741492
1438646400,280.52210987,286.27733374,279.41628428,284.89200085
1438732800,284.73095465,285.97305557,278.267,282.01752641
1438819200,282.10409655,282.33964992,275.084,278.75051631
1438905600,278.7384039,280.8037364,273.87963182,280.35956336
1438992000,279.56606878,280.41277508,258.18768396,260.02083106
1439078400,260.08205793,267.85949643,257.75697234,264.78475886
1439164800,265.83416236,267.14952343,259.95772101,263.26869438
1439251200,263.83851846,271.24685426,261.53988905,271.21757535
1439337600,270.45445189,271.24728895,263.35044719,265.71769658
1439424000,265.60463544,266.75711397,259.83490985,261.6275254
1439510400,263.09644535,267.83612908,258.8924995,265.11502755
1439596800,265.09783304,266.78807372,259.14468604,261.29193999
1439683200,261.20542326,262.54706016,255.27258597,258.13557076
1439769600,257.90572023,260.93307934,255.64490314,256.86931137
1439856000,258.00244999,258.00244999,198.72031646,206.35083798
1439942400,204.77401946,237.2170692,204.77401946,226.20589276
1440028800,228.30349797,237.42872166,226.04247285,234.73038628
1440115200,235.10033327,236.67732183,230.85640052,232.1861735
1440201600,232.09510851,235.33957077,221.80590406,230.27687813
1440288000,230.16986867,233.27867785,224.06939157,228.24189031
1440374400,228.29976407,228.54546899,209.83488926,210.079367
1440460800,210.32905186,226.86710902,198.37800893,221.86702896
1440547200,221.92370128,231.22926538,219.26339774,225.6488138
1440633600,225.73742342,228.83717693,220.74455834,223.81930504
1440720000,224.13776194,235.51789461,218.61721684,231.6568245
1440806400,230.27003478,233.53324323,225.64699205,230.3587119
1440892800,230.46572584,232.78130821,225.2322289,228.97973339
1440979200,228.74994335,232.44191503,225.00476966,229.83702748
1441065600,230.28094298,231.84780799,225.15588794,228.0193844
1441152000,227.63197787,230.89648797,224.1902427,228.80628459
1441238400,228.93936534,230.43963893,224.54801143,226.80653142
1441324800,226.46320336,231.76386859,225.52491513,231.07247124
1441411200,230.88004656,237.05902119,225.301,232.31383832
1441497600,234.64096853,244.01302545,231.82974377,239.61264619
1441584000,239.78924312,242.81851005,237.08892173,240.8486493
1441670400,240.35888643,246.54777472,238.96213047,243.5416939
1441756800,243.90477352,245.07951403,236.49281645,238.74862421
1441843200,238.5859812,241.23595412,235.42828447,238.59413941
1441929600,239.10930088,243.14185818,237.80424414,240.40595355
1442016000,240.45310644,241.86240059,233.4610975,234.84997795
1442102400,235.14821647,236.60107878,227.95810155,230.29650299
1442188800,231.06557274,233.67332199,227.05238919,230.32798284
1442275200,230.55741051,234.12284432,227.88901647,230.22971115
1442361600,230.21703788,233.09890325,226.02404603,228.99280364
1442448000,228.57853655,235.18053963,227.31198956,233.58722169
1442534400,233.0745065,235.68652678,230.57766256,233.07266481
1442620800,233.04175893,234.17934855,229.42971021,230.82082271
1442707200,230.90743598,234.20382766,229.60842747,232.62443268
1442793600,232.83560613,233.37471517,225.99070895,227.49326197
1442880000,226.99536121,233.55462036,224.408733,231.77112853
1442966400,231.12443139,234.22065496,228.18345242,232.0474388
1443052800,230.7197528,237.07829628,229.41660968,235.12289891
1443139200,234.63374706,240.35538365,233.03771675,235.90044233
1443225600,236.26089328,238.11225941,231.82691463,235.02964769
1443312000,235.15969855,237.98616609,231.389,234.77417385
1443398400,235.23432376,243.83631626,232.14167011,242.63496868
1443484800,240.85449506,245.65423392,236.93628332,238.53681045
1443571200,237.81417916,242.09633993,235.69403929,237.39708492
1443657600,237.16030883,241.46842423,233.70845471,238.53876083
1443744000,237.63634078,241.99893739,235.06786827,238.23211702
1443830400,238.31077531,243.13896252,235.43077297,239.09403185
1443916800,239.06,243.05833398,236.401,239.42445681
1444003200,239.78596265,244.37544323,236.258,242.05683634
1444089600,242.06091916,250.03395837,239.22210895,246.46352208
1444176000,248.74845698,251.65492071,242.1280853,244.4654978
1444262400,245.68947583,249.20047975,242.31651671,243.70318217
1444348800,244.66770745,247.54135675,241.10795115,246.51926192
1444435200,246.79497049,248.45796234,242.81195575,246.46507802
1444521600,246.64352852,250.12586598,243.59056571,248.51450627
1444608000,248.47348132,251.53121852,243.83529653,248.57106724
1444694400,247.00948055,254.20926802,243.02674113,251.16548288
1444780800,252.70915781,257.19763049,247.61642947,254.21045935
